theatre,lng,lat,type,projector,date,ratio,width,height,size,seats,note
晋江万达影城(万达广场店) ,118.579818904698,24.8254789767261,imax,IMAX 氙灯,2012年8月10日,,21.60,11.200,241.9200,357, -
马鞍山万达影城(万达广场店) ,118.511660349709,31.6651645359884,imax,IMAX 氙灯,2014年9月19日,,    ,  ,   ,409,
芜湖万达影城(镜湖万达广场店) ,118.406143318405,31.3436046716883,imax,IMAX 氙灯,2012年9月7日,,  ,  ,  ,355,
芜湖幸福蓝海国际影城 ,118.371926412377,31.3225211190116,imax,IMAX 氙灯,2017年1月28日,,25.58,13.780,352.4924,411,
临沂CGV影城(泰盛店) ,118.335769166448,35.0742339443768,imax,IMAX 氙灯,2018年12月21日,,20.90,11.110,232.1990,245, -
滁州万达影城(万达广场店),118.333238999148,32.2956410672148,imax,IMAX 氙灯,2019年8月24日,,21.50,11.220,241.2300,325,
临沂万达影城(滨河万达广场店),118.317993497016,35.1181777576467,imax,IMAX 氙灯,2021年6月12日,,16.29,8.740,142.3746,219,
黄山金逸影城IMAX(光美黎阳店) ,118.303760728348,29.7122071959604,imax,IMAX 氙灯,2017年1月24日,,20.98,11.000,230.7800,333, -
泉州万达影城(万达广场店) ,118.228855972576,25.0752080075047,imax,IMAX 氙灯,2012年9月29日,,   ,  ,,416, -
安溪金逸影城(宝龙店) ,118.203718420007,25.0479865944154,imax,IMAX 氙灯,2016年12月3日,,19.20,10.110,194.1120,346, -
唐山万达影城(路南万达广场店) ,118.194773559026,39.6302177521749,imax,IMAX 氙灯,2011年12月23日,,23.21,11.968,277.7773,357, -
厦门万达影城（湖里万达广场店）,118.1840136395,24.510885984791,imax,IMAX Commercial Laser,"2011年9月2日 
2019年11月22日",,"19.54
20.18","10.058
10.399","196.53332
209.85182",291,12聲道音響系統
厦门万达影城（SM广场店),118.183585776585,24.5100230019768,dolby,科视Christie E3LH数字影院放映机,"2017年7月13日
2017年7月19日启幕仪式",,11.840,6.190,73.2896,210,非常感谢银幕尺寸图提供者微信昵称甘胖子
厦门卢米埃影城(宝龙一城IMAX店) ,118.17875073701,24.4920341301797,imax,IMAX 氙灯,2018年9月30日,,22.62,11.770,266.2374,374, -
唐山耀莱成龙国际影城（新华西道店）,118.159579745756,39.6320428537218,dolby,科视Christie E3LH数字影院放映机,"2017年1月18日
2017年1月18日启幕仪式",,,,,324,
厦门万达影城(SM广场三期店) ,118.13367475467,24.5065770935361,imax,IMAX 氙灯,2022年12月18日,,22.04,11.620,256.1048,350,
