theatre,lng,lat,projector,date,ratio,width,height,size,seats,note
AMC Village Crossing 18,-87.7650105,42.0095919,,,2.39,,,,,
AMC South Barrington 24,-88.1485168,42.0699076,,,1.85,,,,,
AMC Hawthorn 12,-87.9491196,42.2441309,,,1.85,,,,,
AMC DINE-IN Rosemont 12,-87.8675308,41.9797546,,,1.85,,,,,
AMC Naperville 16,-88.2089744,41.7128844,,,2.39,,,,,
AMC Oakbrook Center 12,-87.952423,41.8528162,,,1.85,,,,,
AMC Edwardsville 12,-89.9557512,38.7835112,,,?,,,,,
AMC Crestwood 18,-87.744231,41.651552,,,2.39,,,,,
AMC River East 21,-87.6190787,41.8911992,,,1.85,,,,,
AMC Council Bluffs 17,-95.8955452,41.2423639,,,?,,,,,
AMC Southlake 24,-84.3294514,33.5632772,,,1.85,,,,,
AMC Sugarloaf Mills 18,-84.0774516,33.9814172,,,1.85,,,,,
AMC Barrett Commons,-84.571169,34.0156358,,,?,,,,,
AMC Avenue Forsyth 12,-84.1773896,34.1554676,,,?,,,,,
AMC Madison Yards 8,-84.3563992,33.7461626,,,1.85,,,,,
AMC Parkway Pointe 15,-84.4564502,33.8790269,,,?,,,,,
AMC DINE-IN North Point Mall 12,-84.2964607,34.0480359,,,1.85,,,,,
AMC West Palm Beach 12,-80.0561108,26.7087086,,,?,,,,,
AMC Veterans 24,-82.5430263,28.0329736,,,1.85,,,,,
AMC West Shore 14,-82.5267592,27.9471115,,,?,,,,,
AMC Tallahassee 20,-84.2885529,30.4759016,,,1.85,,,~55-60W,,
AMC Sunset Place 24,-80.2861197,25.7051754,,,1.85,,,,,
AMC Pembroke Lakes 9,-80.3079414,26.0104948,,,?,,,,,
AMC Orange Park 24,-81.7359191,30.1855552,,,?,,,,,
AMC Woodlands Square 20,-82.700388,28.052206,,,?,,,,,
AMC DINE-IN Disney Springs 24,-81.5197128,28.3697613,,,1.85,,,~66 feet wide,,
AMC Regency 24,-81.5548534,30.3269945,,,?,,,,,
AMC Destin Commons 14,-86.4237363,30.3921279,,,?,,,,,
AMC The Regency 20,-82.324416,27.943217,,,1.85,,,,,
AMC Aventura 24,-80.1410959,25.9557533,,,?,,,,,
AMC Altamonte Mall 18,-81.3809883,28.6665449,,,1.85,,,,,
AMC Georgetown 14,-77.0617384,38.9027683,,,2.39,,,,,
AMC Plainville 20,-72.8450541,41.6742602,,,2.39,,,,,
AMC Danbury 16,-73.4153729,41.4160949,,,?,,,,,
AMC Westminster Promenade 24,-105.0706706,39.8892021,,,1.85,,,,,
AMC 9 + CO 10,-104.9391004,39.7296779,,,1.85,,,,,
AMC Highlands Ranch 24,-104.9918758,39.5598788,,,1.85,,,,,
AMC Chapel Hills 13,-104.7933554,38.9474402,,,2.39,,,,,
AMC Flatiron Crossing 14,-105.135388,39.9301531,,,1.85,,,,,
AMC Arapahoe Crossing 16,-104.797449,39.59616,,,2.39,,,,,
AMC Tustin 14 @ The District,-117.8290094,33.696649,,,1.85,,,,,
AMC Rolling Hills 20,-118.3285427,33.7925385,,,2.39,,,,,
AMC Del Amo 18,-118.3478594,33.8337598,,,1.85,,,,,
AMC DINE-IN Thousand Oaks 14,-118.885573,34.181878,,,2.39,,,,,
AMC DINE-IN Sunnyvale 12,-122.0308701,37.3740182,,,1.85,,,~40 feet wide,,
AMC Mercado 20,-121.9830199,37.3891813,,,2.39,,,~56 feet wide,,
AMC Saratoga 14,-121.9900001,37.2887319,,,1.85,,,~42 feet wide,,
AMC Eastridge 15,-121.8149183,37.3248609,,,1.85,,,,,
AMC Metreon 16,-122.4034217,37.7843985,,,2.39,,,~56 feet wide,,
AMC Mission Valley 20,-117.1485969,32.7680797,,,2.39,,,,,
AMC Tyler Galleria 16,-117.4576124,33.9127975,,,1.85,,,,,
AMC DINE-IN South Bay Galleria 16,-118.3557915,33.8719425,,,?,,,,,
AMC Victoria Gardens 12,-117.5300638,34.1128614,,,1.85,,,,,
AMC Orange 30,-117.8933266,33.7826835,,,2.39,,,,,
AMC Porter Ranch 9,-118.5720084,34.2771293,,,1.85,,,,,
AMC DINE-IN Ontario Mills 30,-117.5526612,34.0745918,,,2.39,,,,,
AMC Norwalk 20,-118.0711063,33.913443,,,2.39,,,,,
AMC NewPark 12,-122.0019467,37.5272735,,,1.85,,,~60 feet wide,,
AMC DINE-IN Montclair Place 12,-117.6914901,34.086708,,,1.85,,,,,
AMC Plaza Bonita 14,-117.065415,32.6535344,,,?,,,,,
Disney's El Capitan Theatre,-118.3399391,34.1013616,,,?,,,?,,
AMC The Grove 14,-118.3578419,34.0718688,,,1.85,,,,,
AMC Glendora 12,-117.836395,34.1170829,,,1.85,,,,,
AMC Americana at Brand 18,-118.2572692,34.1429649,,,1.85,,,,,
AMC Bay Street 16,-122.2920468,37.8329817,,,1.85,,,,,
AMC Puente Hills 20,-117.9264934,33.9946382,,,2.39,,,,,
AMC Century City 15,-118.4185503,34.0576327,,,1.85,,,,,
AMC DINE-IN Topanga 12,-118.6034243,34.1887963,,,?,,,,,
AMC Burbank 16,-118.3118211,34.1819851,,,1.85,,,,,
AMC Brentwood 14,-121.7407856,37.9457938,,,1.85,,,,,
AMC Santa Anita 16,-118.0486806,34.1353854,,,1.85,,,,,
AMC DINE-IN Desert Ridge 18,-111.9707028,33.6757238,,,1.85,,,,,
AMC Deer Valley 17,-112.1240247,33.666029,,,1.85,,,,,
AMC Mesa Grand 14,-111.8020733,33.384176,,,1.85,,,,,
AMC Westgate 20,-112.2613531,33.53539,,,1.85,,,,,
AMC Arrowhead 14,-112.2257225,33.6428146,,,2.39,,,,,
